name,place,lon,lat,elevation_m,at_risk
San Miguel de Abona,municipality,-16.6201167,28.0698913,260.0,False
Santiago del Teide,municipality,-16.7640345,28.2705007,1432.0,False
La Palma,island,-17.8657358,28.6551254,789.0,False
El Julan,locality,-18.0747607,27.7054592,425.0,False
La Dehesa,locality,-18.1230063,27.7325533,675.0,False
Plaza Camino del Hierro,square,-16.2759591,28.4605244,158.0,False
Tenerife,island,-16.5226549,28.3017351,2300.0,False
El Hierro,island,-18.021995,27.7437941,526.0,False
La Gomera,island,-17.2236555,28.1192301,1024.0,False
La Concha,suburb,-13.5811153,28.9551407,11.0,False
Agache,region,-16.4471166,28.2708747,901.0,False
El Cable,suburb,-13.5719942,28.9574495,23.0,False
Las Salinas,suburb,-13.5606538,28.9598577,15.0,False
San Francisco Javier,suburb,-13.5645333,28.9631733,25.0,False
Llano de la Roja,locality,-16.5508973,28.036752,9.0,False
Valterra,suburb,-13.5444163,28.9654999,15.0,False
Argana Baja,suburb,-13.5687139,28.9729297,44.0,False
Argana Alta,suburb,-13.5685842,28.977209,52.0,False
Maneje,suburb,-13.5537616,28.9781422,50.0,False
Parque Maneje,suburb,-13.5528805,28.9749936,41.0,False
Altavista,suburb,-13.5486655,28.9740662,39.0,False
Los Alonso,suburb,-13.5451258,28.9697487,25.0,False
Titerroy,suburb,-13.5564621,28.9703437,32.0,False
Tenorio,suburb,-13.5395111,28.975508,35.0,False
Punta Grande,suburb,-13.5206869,28.9778972,8.0,False
Plaza Buganvilla,square,-16.8404581,28.2439906,31.0,False
Plaza de la Urbanización Las Torres,square,-15.4547206,28.1119179,167.0,False
Unnamed settlement,square,-15.4540943,28.1123125,170.0,False
Unnamed settlement,square,-15.4549869,28.1113597,168.0,False
La Vega,suburb,-13.5569275,28.9654617,26.0,False
Plaza del Cristo,square,-16.3130492,28.4927979,556.0,False
Plaza del Pilar,square,-15.4446235,28.1292909,19.0,False
Plaza de la Junta Suprema de Canarias,square,-16.3190391,28.4909696,561.0,False
Plaza de España,square,-16.2471887,28.4670657,8.0,False
Plaza de Santa Ana,square,-16.3712823,28.3520585,33.0,False
Plaza de Canarias,square,-15.4284846,28.1398363,7.0,False
Plaza del Príncipe de Asturias,square,-16.2503419,28.4683274,33.0,False
Plaza José Arozena Paredes,square,-16.2517607,28.4704116,49.0,False
Plaza San Agustín,square,-16.5859256,28.3882669,260.0,False
Plaza El Yoret,square,-15.4506501,28.1297825,10.0,False
Plaza de la Musica,square,-15.4500062,28.129776,9.0,False
Plaza el Salvador,square,-16.4463585,28.4530372,518.0,False
Unnamed settlement,square,-16.5386189,28.0481335,24.0,False
Plaza de Santiago,square,-15.6554446,28.1450015,128.0,False
Plaza de la Candelaria,square,-15.5841867,28.1110093,485.0,False
Plaza de San Francisco,square,-16.2490155,28.4680993,25.0,False
Parque Colorines,square,-14.0369029,28.35104,246.0,False
Plaza de la Constitución,square,-16.5232845,28.390615,357.0,False
Plaza del Centenario del Cabildo de Fuerteventura,square,-13.8650578,28.4912781,9.0,False
Plaza Patricio Calero,square,-13.8683186,28.7390014,14.0,False
Unnamed settlement,square,-13.8673537,28.7424469,7.0,False
Plaza la Paz,square,-13.8624097,28.4994078,36.0,False
Plaza Nuestra Señora del Rosario,square,-13.8608695,28.4990653,25.0,False
Plaza Weyler,square,-16.2556854,28.4677122,51.0,False
Plaza Fernando Pessoa,square,-16.2525196,28.472053,48.0,False
Plaza José Javier Pérez Pérez,square,-16.2592232,28.461854,55.0,False
Unnamed settlement,square,-16.2634382,28.4595523,82.0,False
Unnamed settlement,square,-16.2717526,28.4612418,133.0,False
Unnamed settlement,square,-16.2711531,28.4617003,126.0,False
"Plaza ""El Chapatal""",square,-16.2633753,28.4639406,95.0,False
"Plaza ""Duggi""",square,-16.2596753,28.4659498,64.0,False
Plaza Cruz del Sobradillo,square,-16.3155415,28.4444378,426.0,False
Plaza Víctor Zurita Soler,square,-16.3149162,28.4830019,543.0,False
Costa Calma,suburb,-14.2300785,28.1607676,37.0,False
Plaza Roja,square,-16.5354576,28.044158,5.0,False
Unnamed settlement,square,-16.5890285,28.0298134,19.0,False
Plaza de la Cultura,square,-16.5578784,28.0795737,224.0,False
Plaza San Pedro,square,-16.5771419,28.127048,669.0,False
Plaza de San Pedro,square,-16.6371498,28.1599472,1428.0,False
Plaza de Santiago de El Teide,square,-16.8158125,28.2974515,930.0,False
Santa Cruz de Tenerife,city,-16.2507843,28.467178,33.0,False
Santa Cruz de La Palma,town,-17.7663354,28.6818901,27.0,False
Los Llanos de Aridane,town,-17.9151945,28.6592222,346.0,False
Las Indias,neighbourhood,-17.8614134,28.5029857,430.0,False
La Laguna Grande,locality,-17.2571928,28.1266182,1248.0,False
Cofete,village,-14.3888189,28.1023118,69.0,False
Betancuria,village,-14.0573104,28.4249637,403.0,False
La Orotava,town,-16.5235692,28.3898829,362.0,False
Puerto de la Cruz,town,-16.5532956,28.4159024,12.0,False
Puerto del Rosario,town,-13.8599051,28.4993424,22.0,False
Las Aguas,hamlet,-16.6413132,28.3964585,25.0,False
