name,place,lon,lat,elevation_m,at_risk
Kadavu,island,178.2187806,-19.0479943,0.0,True
Hatana,archipelago,176.9618748,-12.4776025,0.0,True
Lomaiviti Group,archipelago,179.0559715,-17.6798639,0.0,True
Lau Group,archipelago,0.7494494,-19.1958246,0.0,True
Vanua Levu Group,archipelago,-0.5937593,-16.5701826,0.0,True
Yasawa Islands,archipelago,177.2518948,-17.0167833,0.0,True
Vorovoro,island,179.3146674,-16.3428748,27.0,False
Taveuni,island,0.0305418,-16.8487784,0.0,True
Natuvu,hamlet,179.1531607,-16.7446324,4.0,False
Unnamed settlement,hamlet,179.0101489,-16.799215,13.0,False
Unnamed settlement,hamlet,179.2692144,-16.6570476,15.0,False
Daku,village,178.7716136,-17.7781595,3.0,False
Moturiki,island,178.7428651,-17.7490967,67.0,False
Nasauvuki,village,178.7567184,-17.7652117,6.0,False
Nasesara,village,178.7490387,-17.755975,6.0,False
Niubasaga,hamlet,178.7417303,-17.7771155,4.0,False
Ovalau,island,178.7874923,-17.6838774,76.0,False
Nawowo,hamlet,178.8089271,-17.6249632,7.0,False
Toki,village,178.8230893,-17.6470768,8.0,False
Naigani,island,178.6756839,-17.5805644,103.0,False
Naigani Village,village,178.6707718,-17.5842252,8.0,False
Koro Island,island,179.3950659,-17.3202785,493.0,False
Unnamed settlement,hamlet,179.3643461,-17.2760786,5.0,False
Unnamed settlement,hamlet,179.3903217,-17.2642181,125.0,False
Vatulele,village,179.3939169,-17.2488579,15.0,False
Gau,island,179.300677,-18.0279744,246.0,False
Batiki,island,179.1565394,-17.7865041,32.0,False
Unnamed settlement,hamlet,179.1736754,-17.792895,3.0,False
Unnamed settlement,hamlet,179.1476369,-17.7867148,4.0,False
Unnamed settlement,village,179.3419506,-18.0089507,8.0,False
Unnamed settlement,hamlet,179.3028001,-18.0561849,7.0,False
Unnamed settlement,village,179.2602588,-17.9572615,2.0,False
Unnamed settlement,hamlet,179.2531769,-17.9807722,3.0,False
Unnamed settlement,village,179.2526517,-17.9869718,4.0,False
Moala,island,179.8901957,-18.6107078,0.0,True
Vadra,village,179.8355012,-18.6020435,17.0,False
Ogea Levu,island,-178.4127358,-19.1465008,0.0,True
Makadru,village,179.7356267,-19.1733706,0.0,True
Matuku,island,179.7594984,-19.1552457,0.0,True
Beqa,island,178.1294355,-18.39119,78.0,False
Dakuni,village,178.1453482,-18.4040812,0.0,True
Raviravi,village,178.1075501,-18.3763545,11.0,False
Unnamed settlement,hamlet,178.1038568,-18.4080563,6.0,False
Kabara Island,island,-178.9556786,-18.954551,0.0,True
Udu,village,-178.9444194,-18.9861184,0.0,True
Namuka,village,-178.6336407,-18.8522423,0.0,True
Moce,island,-178.5059288,-18.6523907,0.0,True
Unnamed settlement,island,-178.522644,-18.9235367,0.0,True
Namuka-i-Lau,island,-178.6342836,-18.8523149,0.0,True
Oneata Island,island,-178.4749607,-18.4381554,0.0,True
Vanua Vatu,island,-179.2710722,-18.371787,0.0,True
Waiqori,village,-178.4870844,-18.4453777,0.0,True
Unnamed settlement,village,-178.620365,-18.68401,0.0,True
Komo,island,-178.6299049,-18.6827716,0.0,True
Mabula,village,-179.3264006,-17.7689564,0.0,True
Tuvuca,island,-178.8194721,-17.6759884,0.0,True
Kanacea Island,island,-179.1499436,-17.2651171,0.0,True
Namalata Island,island,-178.9841432,-17.3368766,0.0,True
Lakeba Island,island,-178.787667,-18.2158582,0.0,True
Waitabu,village,-178.7728955,-18.2358555,0.0,True
Yadrana,village,-178.7748513,-18.1905966,0.0,True
Fulaga,island,-178.5737034,-19.1366624,0.0,True
Ogea Driki,island,-178.4164007,-19.2053563,0.0,True
Aiwa Island,island,-178.6849157,-18.3312825,0.0,True
