name,place,lon,lat,elevation_m,at_risk
Embudu,islet,73.512006,4.0840053,0.0,True
Baa Atoll,atoll,73.0943817,5.1846123,0.0,True
ހުޅުލެ,island,73.5332422,4.1972008,0.0,True
ހުޅުމާލެ,island,73.5419905,4.2209118,1.0,True
ކާށިދޫ,archipelago,73.4557056,4.9604273,0.0,True
Havodda,islet,73.0952911,0.5406883,0.0,True
Mathiveri,islet,72.7460515,4.192073,0.0,True
Maafushi,island,73.4896585,3.941188,0.0,True
Eh`mafushi,islet,73.4675663,4.1231102,0.0,True
Unnamed settlement,islet,73.5802289,4.5824767,0.0,True
Unnamed settlement,islet,73.5898037,4.5897122,0.0,True
Unnamed settlement,islet,73.5839236,4.5947442,0.0,True
Fari Islands,archipelago,73.5771482,4.6115335,0.0,True
Unnamed settlement,islet,72.9938507,2.7171959,0.0,True
މާލެ,island,73.5097631,4.1746841,6.0,False
Kuramathi Island Resort,islet,72.9763325,4.2601822,0.0,True
Unnamed settlement,islet,72.898761,5.4074432,0.0,True
Kanufushi,islet,72.9516028,5.0117322,0.0,True
ކިހާދޫ,islet,73.1251373,5.2152537,0.0,True
Unnamed settlement,islet,72.8269423,5.5139123,0.0,True
ބޮޑުގާހުރާ,islet,73.6576849,5.332234,0.0,True
Unnamed settlement,islet,73.3661602,5.8611038,0.0,True
Maamaduvvari,islet,72.9419713,5.0093868,0.0,True
އުނގޫފާރު,islet,73.0298632,5.6682812,0.0,True
Vakkaru,islet,72.9097795,5.1334351,0.0,True
މަޑުއްވަރީ,islet,73.5023801,5.2849096,0.0,True
އިއްނަމާދޫ,islet,73.0440241,5.5494422,0.0,True
Vaikaramuraidhoo,island,72.8953974,6.541253,0.0,True
Hirundhoo,islet,73.1535636,5.2171099,0.0,True
އިނގުރައިދޫ,islet,73.0366196,5.4768646,0.0,True
މަޑިވަރު,islet,73.3702748,5.458818,0.0,True
Loafaru,islet,73.275885,5.7860641,0.0,True
ނޮޅިވަރަމް,island,73.0824823,6.6625305,0.0,True
Kudafushi,islet,72.9802994,5.5105895,0.0,True
ވައްވަރު,islet,73.354294,5.4171909,0.0,True
Bodu,islet,72.8574258,5.0080488,0.0,True
ތަކަންދޫ,islet,72.9955673,6.8444499,0.0,True
Hiboodhoo,islet,72.9186904,5.6125519,0.0,True
Unnamed settlement,islet,72.8841645,5.5516353,0.0,True
InterContinental Maldives Resort,islet,72.919098,5.3599837,0.0,True
ކަމަދޫ,islet,73.1370917,5.2821677,0.0,True
މާފަރު,island,73.4687266,5.8240814,0.0,True
Ifuru,island,73.0240324,5.7081104,0.0,True
ރަތްރުއްހުރާ,islet,73.6450878,5.4172651,0.0,True
Maarikilu,islet,72.952427,5.3349376,0.0,True
Unnamed settlement,islet,72.8768742,5.5520411,0.0,True
Unnamed settlement,islet,72.6405099,6.3190326,0.0,True
Maanenfushi,islet,72.9616279,5.7510638,0.0,True
ދިއްދޫ,island,73.1093731,6.8865725,0.0,True
Nelifunadhoo,islet,73.0859142,5.1258277,0.0,True
ފެހިގިލި,islet,73.4815095,5.5573356,0.0,True
Ugulufinolhu,islet,72.9005763,6.9712458,0.0,True
Mudhdhoo,islet,73.0848118,5.206666,0.0,True
Boduhuraa,islet,73.022081,5.4178129,0.0,True
Faridhoo,islet,73.0539218,6.7849197,0.0,True
Unnamed settlement,islet,72.9197004,6.642697,0.0,True
ހޮޅުދޫ,islet,73.2629627,5.7550374,0.0,True
Govvaafushi,islet,72.9193748,7.0125806,0.0,True
Ufuligiri,islet,72.9701831,5.0170851,0.0,True
Kanifushi,islet,73.3426827,5.3676856,0.0,True
Unnamed settlement,islet,73.3026373,6.0001817,0.0,True
Unnamed settlement,islet,73.0444849,6.0640878,0.0,True
Unnamed settlement,islet,72.9457587,5.5563057,0.0,True
ވެލިދޫ,islet,73.2729746,5.6641312,0.0,True
ފެލިވަރު,islet,73.3862436,5.4770418,0.0,True
Ookolhufinolhu,islet,73.6228122,5.2821666,0.0,True
މާކުރަތު,islet,73.0433335,5.6061794,0.0,True
ކިނޮޅަސް,islet,73.0306574,5.4484196,0.0,True
މާބިންހުރާ,islet,73.651778,5.3375427,0.0,True
Unnamed settlement,islet,73.1439198,5.8732867,0.0,True
މީދާހުރާ,islet,73.4078344,5.3692946,0.0,True
Keyodhoo,islet,72.9960716,5.2765578,0.0,True
Dhigali,islet,72.9528021,5.4751258,0.0,True
Unnamed settlement,islet,73.126613,6.8950873,0.0,True
Kuredhivaru,islet,73.3434995,5.875317,0.0,True
މަގޫދޫ,islet,73.362341,5.776297,0.0,True
Huvahandhoo,islet,72.9054853,6.9603196,0.0,True
Unnamed settlement,islet,73.0437357,6.0717532,0.0,True
Hathifushi,islet,72.8308141,7.0201515,0.0,True
ނޭކުރެންދޫ,island,72.9797925,6.5430988,0.0,True
މާޅޮސް,islet,73.1080727,5.1347987,0.0,True
ނަރުދޫ,islet,73.218141,6.2643023,0.0,True
Kanufusheegaathufinolhu,islet,72.9628743,5.0139299,0.0,True
ކުރެންދޫ,islet,73.4636405,5.3338136,0.0,True
ވޭވަށް,islet,73.361313,5.4251133,0.0,True
Vagaru,islet,73.2031293,6.0895247,0.0,True
Dhonakulhi,islet,73.0521164,6.8442169,0.0,True
Medhufinolhu,islet,72.9669363,5.0158305,0.0,True
