name,place,lon,lat,elevation_m,at_risk
Groupe d'Aldabra,archipelago,46.9822705,-9.738605,-32767,True
L'Islette,islet,55.4093483,-4.6629789,-32767,True
Île Picard,island,46.2242052,-9.3875361,-32767,True
Farquhar Atoll,locality,51.1138311,-10.1669807,-32767,True
Poivre Islands,archipelago,53.3064459,-5.7616274,-32767,True
Mahé,island,55.4521201,-4.6838076,-32767,True
Alphonse Group,archipelago,52.7483378,-7.0822085,-32767,True
Assomption,island,46.508401,-9.7250674,-32767,True
Malabar,island,46.3587716,-9.3780066,-32767,True
Grand Terre,island,46.3661824,-9.4341054,-32767,True
Ile Aux Vaches,islet,55.4337998,-4.6859108,-32767,True
Eden Island,islet,55.4782952,-4.6399735,-32767,True
Ile Cerf,islet,50.9887787,-9.526476,-32767,True
Praslin,island,55.7338547,-4.3251043,278,False
Île de la Persévérance,island,55.4652306,-4.6059912,-32767,True
Recif Island,island,55.7646165,-4.5847657,-32767,True
Unnamed settlement,islet,55.6732501,-4.2586682,-32767,True
Unnamed settlement,islet,55.7499262,-4.3025099,-32767,True
Unnamed settlement,islet,55.7457837,-4.3104911,-32767,True
Île Curieuse,island,55.7283681,-4.2842385,3,False
Providence Island,island,51.0308544,-9.2256959,-32767,True
Île de Coëtivy,island,56.2760218,-7.1354453,-32767,True
Alphonse Island,island,52.7282654,-7.0071623,-32767,True
Bijoutier Island,island,52.7347313,-7.0677131,-32767,True
Île Saint-François,island,52.7398917,-7.1527982,-32767,True
Île Marie-Louise,island,53.1436828,-6.1792636,-32767,True
Île Desnœufs,island,53.043467,-6.2345919,-32767,True
Desroches Island,island,53.670863,-5.6891532,-32767,True
Remire,islet,53.3122966,-5.1165962,-32767,True
Île d'Arros,island,53.2980229,-5.4156035,-32767,True
Île Ressource,island,53.3268214,-5.4102964,-32767,True
Île Fouquet,islet,53.3414702,-5.4234193,-32767,True
Île Saint-Joseph,island,53.3564946,-5.4361366,-32767,True
Île Silhouette,island,55.2304331,-4.4888634,375,False
Île du Nord,island,55.2459417,-4.3920487,-32767,True
Île Félicité,island,55.8748307,-4.3278471,179,False
La Digue,island,55.8404249,-4.3601044,-32767,True
Cousin,islet,55.6615962,-4.3314118,33,False
Petite Sœur,islet,55.8552197,-4.28775,-32767,True
Île Marianne,island,55.9210512,-4.3425994,48,False
Grande Sœur,island,55.8692683,-4.2900147,60,False
Unnamed settlement,islet,55.5396902,-4.4841466,-32767,True
Unnamed settlement,islet,55.907447,-4.6018204,-32767,True
Île d'Aride,island,55.6667104,-4.212426,60,False
Unnamed settlement,islet,55.6476417,-4.3507606,20,False
Unnamed settlement,islet,55.3667123,-4.6634084,122,False
Unnamed settlement,islet,55.4013224,-4.6744836,127,False
Île au Cerf,island,55.4987179,-4.634051,-32767,True
Île Sainte-Anne,island,55.5045414,-4.6059439,-32767,True
Île de Romainville,islet,55.4708131,-4.6250643,-32767,True
